prompt,response
How many undergraduate programmes do you offer ?,We offer 8 undergraduate courses.
What undergraduate programmes do you offer ?,At the undergraduate level we offer the following B.Sc. Programs for new students as of 2023/2024 semester: B.Sc. Computer Science (Special); B.Sc. Computer Science and Management; Major in Computer Science; Minor in Computer Science; B.Sc. Information Technology (Special); Major in Information Technology; Minor in Information Technology; B.Sc. Software Engineering (Mobile Applications Technologies.
What is the B.Sc. Computer Science (Special) programme / Degree ?,The B.Sc. Computer Science (Special) programme consists of 3 levels of computer science and information technology courses and foundation courses. At the end of the programme the student will have accumulated 93 total credits for their degree. The courses are chosen for students to complete except for the electives. A student has less flexibility in the courses they can choose.
What were the old programmes available for students before 2023/2024,We offered the following B.Sc. Programs (old): B.Sc. Computer Science (Special); B.Sc. Computer Science and Management; B.Sc. General with a Major/Minor in Computer Science; B.Sc. Information Technology (Special); B.Sc. General with Major/Minor in Information Technology; B.Sc. Software Engineering (Mobile Applications Technologies.
What are the courses offered in the computer science (special) programme ?,"the Computer Science program offers a meticulously designed curriculum aimed at providing students with a comprehensive education in the field. The first level (Level 1) comprises 24 credits, covering fundamental courses such as Introduction to Computing Concepts, Computer Programming I, II, and III, Mathematics for Computing, and Introduction to Information Technology Concepts. Notably, students with appropriate qualifications can seek exemptions from Fundamental Mathematics, fostering flexibility.

Advancing to Level II and Level III, the curriculum expands to 45 credits with courses like Computer Architecture, Computer Networks, Object-Oriented Programming I, Operating Systems, Enterprise Database Systems, Software Engineering I, Data Structures, Web Programming and Technologies I, Information Systems Security, Industrial Statistics, Design and Analysis of Algorithms, Theory of Computing, Human-Computer Interaction, Applied Mathematics for Scientific Computing, and Project.

The program also offers a specialized track, the B.Sc. Computer Science (Special), featuring elective courses at Level II and Level III. These elective courses cover diverse areas such as Introduction to Data Analytics, Wireless and Mobile Computing, Object-Oriented Programming II, Intelligent Systems, Game Programming, Big Data Analytics, Modelling and Simulation, Special Topics in Computer Science, Software Engineering II, Professional Ethics and Law, Business Information Systems, Fundamentals of LAN Technologies, Cloud Computing, Fundamentals of WAN Technologies, E-Commerce, Internship I and II, and Database Administration.

To further enrich the academic experience, students are required to complete Foundation Courses, including Caribbean Civilization, Scientific and Technical Writing, and Law, Governance, Economy, and Society. Additionally, language requirements are flexible, allowing students with foreign language passes to be exempted from language courses."
Do you provide any internships ?,"The department offers an optional internship programme for students pursuing a degree in Computer Science or Information Technology. Students participate in the programme by registering for either INFO 3609, a 3-credit or INFO 3610, a 6-credit Internship course. However, students are not allowed to read both INFO 3609 and INFO 3610. More details are available from the Department. The internship programme will be helpful in: Providing practical training to students during their degree programme; Providing experience in the working environment, and Preparing for future jobs."
Do you provide any bootcamps ?,"Yes, we offer a bootcamp during the summer for the past 7 years."
What is the duration of the bootcamps? How long will they last?,The bootcamp usually begins in the summer in the months of July and August. The exact date and times vary each year. You can subscribe to our mailing list to receive important updates on availability and special offers. 5 lucky subscribers will be awarded a scholarship to enroll for free! : https://mailchi.mp/dabae41ae867/dcit-bootcamp 
How do I enrol in the bootcamp ?,Enrolment Steps: Pay the enrolment fee via the payment options below (online payments will become available later). Submit the proof of payment at the enrolment form link (currently there is no updated link for 2024). You will receive an email confirming your spot.
What kind of skills can I expect to learn in this bootcamp?,"You can expect to learn multiple tech skills from different domains in Information Technology. Each year there is a possibility of a different theme. Skills such as HTML/CSS/Javascript, AJAX & Web APIs, User interface Design and web animations, cyber security concepts and databse concepts."
Who can enrol in the bootcamps ?,"The bootcamp is designed for students in Forms 4, 5 and 6 in secondary schools and students entering university undergraduate programmes."
What would activities include ?,"The sessions commonly include activities such as live lectures, guided labs with demonstrators, take home practice exercises, projects and presentations. At the end participants are awarded a certificate."
What are the payment options ?,"There are 2 types of payment options. 1. Bank Payment: The account information needed to complete payments to us at Republic Bank Limited (any branch or online) is as follows: Account Name:      The University of the West Indies, Account Number:   160-284-614-001, Account Type:        Chequing, Reason for payment:  (To be stated on bank slip or via Internet banking): E.g. DCIT Boot Camp 2023. 2. Online Credit Card Payment: To pay via credit card please click the following link: Boot Camp 2023 Online Payment: https://secure.touchnet.net/C24203_ustores/web/store_main.jsp?STOREID=78&SINGLESTORE=true"
Do you provide any virtual internship?,"Yes, but it is entirely dependent on the company that has partnered with us."
Will this bootcamp guarantee me a job?,Our guarantee is to prepare you for a career in tech and provide you with an introduction to the topics covered at the university.
I have zero knowledge of coding. Can I take this course?,"Yes, this is the perfect course for anyone who has never coded and wants to begin."
What are the things I need to know before starting this course?,This course is for absolute beginners hence you do not need any specific skills other than basic familiarity with computers
What is different in this course compared to hundreds of courses on the internet and free tutorials on YouTube?,"Our course stands out from the multitude of online courses and free tutorials available on platforms like YouTube in several significant ways. Firstly, our courses are meticulously curated and developed by experienced faculty members from our esteemed university, ensuring a high standard of academic content and relevance. Each module is designed to build upon the previous one, offering a cohesive and in-depth understanding of the subject matter. Additionally, participants in our courses benefit from direct interaction with university lecturers. This unique aspect allows for personalized feedback, clarification of doubts, and the opportunity to engage in meaningful discussions. Furthermore, upon successful completion of our courses, participants receive a university-issued certificate"
Can I add this course to my resume?,Yes. Absolutely you can mention this experience in your resume with the relevant skills that you will learn from this course.
I want to know more about the Computer science with management programme.,"B.Sc. Computer Science and Management Overview: **Level 1 (24 Credits):** In the first level of the program, students will engage with foundational courses designed to provide a comprehensive understanding of both computer science and management. These courses include: - ACCT 1002: Introduction to Financial Accounting, - ACCT 1003: Introduction to Cost and Managerial Accounting, - COMP 1600: Introduction to Computing Concepts, - COMP 1601: Computer Programming I, - COMP 1602: Computer Programming II, - COMP 1603: Computer Programming III, - ECON 1001: Introduction to Economics I, - ECON 1002: Introduction to Economics II, **Level II/Level III (33 Credits):** As students progress to the second and third levels, the curriculum becomes more specialized. Courses in computer architecture, networks, programming, data structures, and managerial concepts are introduced. Notable courses include: - COMP 2601: Computer Architecture, - COMP 2602: Computer Networks, - COMP 2603: Object-Oriented Programming I, - COMP 2604: Operating Systems, - COMP 2605: Enterprise Database Systems, - COMP 2611: Data Structures, - MGMT 2008: Organisational Behaviour, - MGMT 2021: Business Law I, - MGMT 2032: Managerial Economics, - MKTG 2001: Principles of Marketing,  **CORE OPTIONS: Level II/Level III (3 Credits):** Students can choose from a selection of core options, including courses in management accounting, quantitative methods, financial management, and marketing management. - ACCT 2017: Management Accounting (Prerequisites: ACCT 1002 and ACCT 1003), - MGMT 2012: Quantitative Methods (Prerequisite: COMP 1601), - MGMT 2023: Financial Management I (Prerequisite: COMP 1601), - MKTG 3000: Marketing Management (Prerequisite: MKTG 2001), **ELECTIVE (12 Credits): Level II/Level III:** The program offers a wide range of elective courses allowing students to tailor their education to their interests. These cover various areas such as software engineering, data analytics, game programming, information systems security, and more. **ADDITIONAL ELECTIVES (15 Credits):**, Students can choose from a variety of Level II/III credits in computer science, economics, information technology, mathematics, or management courses. **Foundation Courses (9 Credits):**, Completing the program, students will take foundational courses providing a broader understanding of Caribbean civilization, scientific and technical writing, and law, governance, economy, and society., - FOUN 1101: Caribbean Civilization, - FOUN 1105: Scientific and Technical Writing, - FOUN 1301: Law, Governance, Economy and Society, **Note:** Students without a foreign language pass may have different requirements for FOUN 1101, as specified by language proficiency at matriculation."
What times and days are the department of computing and information (DCIT) open ?,"We are open from Monday - Friday. The times we open are 9:00 am - 4:00 pm"
What sort of facilities does DCIT offer to students ?,"The Department of Computing and Information Technology (DCIT) has numerous labs and facilities for undergraduate students, postgraduate students and staff members."
What are these lab facilities offered ?,"The DCIT computer science laboratory actually consists of three labs each separated by a wooden partition. The third computer lab has been renovated to produce a postgraduate computer lab, namely Lab 3. The other two labs Lab 1 and Lab 2 provide an up to date facility for teaching and practical work. The list below shows the computer specifications used in the labs. MSCIT Projects Lab Walk-in Lab for students from the Department of Computing and Information Technology and from the Department of Mathematics and Statistics. Computer Login: To logon to machines in the lab use your id number and password. Initially your password will be your date of birth in the form yyyymmdd. You will be prompted to change your password on first logon."
I have never done programming and belong to a non-technical background. Can I take these programmes?,Yes you can apply for these programmes but Entry Requirements are Two 2-Unit CAPE (GCE A-Level or equivalent) subjects including 1 Science subject are required for admission into the listed undergraduate programmes. An approved Associate Degree or equivalent certification from a recognised tertiary-level institution would be considered upon application. 
"I dont have a laptop, can I take these programmes ?",We recommend learning by doing and therefore it is beneficial to have a laptop or a PC (at least 4 GB ram) but we have lab facilities for students to utilize in the event they don't have laptops. 
Which operating system is better to have as a student ?,"The type of Operating systems depends on the student's ability. You should use whichever you are comfortable with, however we do have a course on operating systems which will give you an appreciation for unix/linux based systems."
Will this programme guarantee me a job?,"The UWI provide many opportunities to prepare students for the World of Work. DCIT offers internships to gain real world experience while completing course credits and being paid. However, we want to be honest and do not want to make any impractical promises! Our guarantee is to prepare you for the job market by teaching the most relevant skills, knowledge & timeless principles good enough to fetch the job."
Are there any prerequisites for taking this courses from programmes ?,You can find a list of handbooks at this link : https://sta.uwi.edu/faculty-booklet-archive/
Where is DCIT located ?,"The Department of Computing and Information Technology is located on the second floor of the Faculty of Science and Technology building at The University of the West Indies, St. Augustine Campus, Trinidad & Tobago, West Indies. You can use this link to view uwi campus map at the Faculty of Science and Technology : https://uwi.maps.arcgis.com/apps/webappviewer/index.html?id=d2926d682c3c415ba00cf26e1d8ffec7"
How do I get in contact with DCIT ?,"Department of Computing and Information Technology Secretariat SENIOR ADMINISTRATIVE ASSISTANT, Name: Mrs. Avril Patterson-Pierre BA (HW), Telephone: 868-662-2002 ext 85382, Email: Avril.Patterson-Pierre@sta.uwi.edu, ACTING SECRETARY , Name: Mrs. Natasha Richards-Isaac BSc (UWI) MSc (UWI), Telephone: 868-662-2002 ext 8-3080/ 868-662-2002 ext 85383, Email: Natasha.richards@sta.uwi.edu, CLERICAL ASSISTANTS, Name: Mrs. Niala Ragoo BA (UH), Telehphone: 868-662-2002 ext 85385, Email: niala.ragoo@sta.uwi.edu, Name: Mr. Nirvan Bhagwandeen
Telephone: 868-662-2002 ext 85384/ 83640
Email: nirvan.bhagwandeen@sta.uwi.edu
Mailing Address: Department of Computing and Information Technology, Faculty of Science and Technology, The University of the West Indies, St. Augustine Campus, Trinidad and Tobago, West Indies, Telephone: (868) 662-2002 Ext. 83080/83640, E-mail: dcit@sta.uwi.edu"
What is the difference between a major in computer science and computer science (special),"The distinction between a major in Computer Science and a Computer Science (Special) program lies in the breadth and focus of the academic experience. Opting for a major in Computer Science offers students the flexibility to tailor their degree by selecting courses from outside the Department of Computing and Information. This unique feature allows for a diversified educational experience, enabling individuals to explore interdisciplinary subjects and acquire a well-rounded skill set. On the other hand, the Computer Science (Special) program provides a more focused and curated curriculum, concentrating solely on courses within the realm of Computer Science and Information Technology. This specialization ensures an in-depth immersion into the core aspects of the field, allowing students to develop specialized expertise and proficiency in key areas of computer science. Whether one chooses the flexibility of a major with diverse course options or the focused depth of a Computer Science (Special) program, both pathways cater to distinct preferences and career goals within the dynamic and rapidly evolving field of computer science."
What is the Major in Computer science programme about ?,"The Computer Science major consists of a comprehensive curriculum designed to equip students with a strong foundation in computing concepts and skills. In the initial level (Level 1), students undertake essential courses such as Introduction to Computing Concepts, Computer Programming I and II, and Mathematics for Computing, each providing fundamental knowledge without specific prerequisites.

Moving on to Level II and Level III, students delve deeper into the field with courses like Computer Architecture, Computer Networks, Object-Oriented Programming I, Operating Systems, Enterprise Database Systems, and Data Structures. These courses build upon the foundational knowledge gained in Level 1 and establish a solid understanding of advanced concepts in computer science.

The major also offers a range of elective courses at Level II and Level III, allowing students to tailor their education to their interests and career goals. Electives cover diverse topics including Software Engineering, Design and Analysis of Algorithms, Theory of Computing, Human-Computer Interaction, Introduction to Data Analytics, Wireless and Mobile Computing, Object-Oriented Programming II, Game Programming, Big Data Analytics, Modelling and Simulation, and Software Engineering II. Additionally, students can explore related areas such as Web Programming, Information Systems Security, Professional Ethics and Law, Business Information Systems, and Cloud Computing.

The inclusion of internships and specialized courses like E-Commerce reflects the major's commitment to providing practical experiences and real-world applications. Overall, the Computer Science major offers a well-rounded and structured curriculum, ensuring students acquire both foundational knowledge and specialized skills to thrive in the dynamic field of computer science."
